LNG;LAT;ID;NOMBRE;NOM_MAP;OBJETO;CALLE;ALTURA;DOM_GEO;TELEFONO;GUARDIA;FAX;WEB;TIPO;TIPO_ESPEC;MOD_AT_1;MOD_AT_2;DEPEND_ADM;DIRECTOR;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;COD_POSTAL
-58.4276597542837;-34.6146348348429;16;HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS;HOSP. ODONTOLOGICO DUEÑAS;HOSPITAL;MUÑIZ;15;15 MUÑIZ;4983-0392 / 4983-8983;4983-0392 / 4983-8983;4983-0688; ;HOSPITAL ESPECIALIZADO;ODONTOLOGIA;AT. AMBULATORIA;DIAGNOSTICO;MINISTERIO DE SALUD GCBA;DR. DANIEL BASOVICH;MUÑIZ 15;ALMAGRO;COMUNA 5;1212;C1212AAA
-58.4332484381295;-34.6070507603866;17;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;HOSP. CURIE;HOSPITAL;PATRICIAS ARGENTINAS;150;150  PATRICIAS ARGENTINAS AV.;4982-1731 / 1831;4982-1731 / 1831 / 5744;4982-3972; ;HOSPITAL ESPECIALIZADO;ONCOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. GUILLERMO TEMPERLEY;PATRICIAS ARGENTINAS AV. 150;CABALLITO;COMUNA 6;1405;C1405BWU
-58.4323966950244;-34.6255031952483;18;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;HOSP. DE QUEMADOS A. U. ILLIA;HOSPITAL;PEDRO GOYENA;369;369 GOYENA, PEDRO AV.;4923-3022;4923-4082 / 4923-3022;4925-3557;WWW.BUENOSAIRES.GOV.AR/AREAS/SALUD/HOSPITAL_QUEMADOS/?MENU_ID=24263;HOSPITAL ESPECIALIZADO;QUEMADOS;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. ARMANDO MARCO ANTONIO ESCOBAR;GOYENA, PEDRO AV. 369;CABALLITO;COMUNA 6;1424;C1424BSD
-58.3940641604746;-34.6227125075125;19;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;HOSP. SANTA LUCIA;HOSPITAL;SAN JUAN;2021;2021 SAN JUAN AV.;4127-3100 / 4941-5555;4941- 8081;4941-7077;WWW.HOSPITALSANTALUCIA.COM.AR;HOSPITAL ESPECIALIZADO;OFTALMOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. ESTELA FERNANDEZ REY;SAN JUAN AV. 2021;SAN CRISTOBAL;COMUNA 3;1232;C1232AAC
-58.5021449222223;-34.6179817540591;20;HOSPITAL DE REHABILITACION M. ROCCA;HOSP. DE REHAB. ROCCA;HOSPITAL;SEGUROLA;1949;1949 SEGUROLA AV.;4630-4700 / 4800;4630-4741 / 4742;4566-4206; ;HOSPITAL ESPECIALIZADO;MED. FISICA/REHABILITACION;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. ABEL ADDIMANDA;SEGUROLA AV. 1949;MONTE CASTRO;COMUNA 10;1407;C1407AOM
-58.3937269413226;-34.6375293258416;21;HOSPITAL DE INFECCIOSAS F. MUÑIZ;HOSP. MUÑIZ;HOSPITAL;USPALLATA;2272;2272 USPALLATA;4304-2180 / 3380 / 4306-7855;4304-5555 / 4304-3380 / 2946 (INT. 213);4304-2386; ;HOSPITAL ESPECIALIZADO;INFECTOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. RUBEN DANIEL MASINI;USPALLATA 2272;PARQUE PATRICIOS;COMUNA 4;1282;C1282AEN
-58.4752588459762;-34.5972098729152;22;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;HOSP. T. DE ALVEAR;HOSPITAL;WARNES;2630;2630 WARNES AV.;4521-0273 / 0090 / 0983;4521-5555 / 5934;4521-2537; ;HOSPITAL ESPECIALIZADO;SALUD MENTAL;AT. AMB./INTERNACION;DIAGNOSTICO;MINISTERIO DE SALUD GCBA;DR. RONALD GUSTAVO FALCON;WARNES AV. 2630;PATERNAL;COMUNA 15;1427;C1427DPS
-58.4005134574423;-34.5847659581214;23;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;HOSP. RIVADAVIA;HOSPITAL;GENERAL LAS HERAS;2670;2670 LAS HERAS GENERAL AV.;4809-2000;4809-2002 / 2340;4802-2721;WWW.BUENOSAIRES.GOV.AR/AREAS/SALUD/RIVADAVIA;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. EDUARDO FERNANDEZ ROSTELLO;LAS HERAS GENERAL AV. 2670;RECOLETA;COMUNA 2;1425;C1425ASQ
-58.365985088719;-34.6283448581677;24;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;HOSP. ARGERICH;HOSPITAL;CORBETA PI Y MARGAL;750;750 PI Y MARGALL;4121-0700 / 0800;4121-0683;4362-2621; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. NESTOR HERNANDEZ;PI Y MARGALL 750;BOCA;COMUNA 4;1155;C1155AHD
-58.4068939142787;-34.581141710889;25;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;HOSP. FERNANDEZ;HOSPITAL;CERVIÑO;3356;3356 CERVIÑO AV.;4808-2600;4808-5555 / 2600 / 2650 / 2640;4801-0932; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. JOSE LANES;CERVIÑO AV. 3356;PALERMO;COMUNA 14;1425;C1425AGP
-58.4379813617051;-34.6089728538415;26;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;HOSP. DURAND;HOSPITAL;DIAZ VELEZ;5044;5044 DIAZ VELEZ AV.;4982-5555 / 4982-5655 CONMUTADOR 4982-1050 / 4981-2670;4982-1771 / 4982-5555 / 4981-2790;4982-2677;WWW.HOSPITALDURAND.ORG.AR;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. CARLOS ROSALES;DIAZ VELEZ AV. 5044;CABALLITO;COMUNA 6;1405;C1405DCS
-58.4695020363265;-34.6241704940114;27;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;HOSP. ALVAREZ;HOSPITAL;DOCTOR JUAN FELIPE ARANGUREN;2701;2701 ARANGUREN, JUAN F., DR.;4611-6666 / 4630-2900;4611-6666 (INT. 2111 Y 2948);4612-5073; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. LAURA CORDERO;ARANGUREN, JUAN F., DR. 2701;FLORES;COMUNA 7;1406;C1406FWY
-58.4096107488156;-34.6176598438607;28;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;HOSP. RAMOS MEJIA;HOSPITAL;GENERAL URQUIZA;609;609 URQUIZA, GRAL.;4127-0200 / 300;4127-0400;4932-8858;WWW.HOSPITALRAMOSMEJIA.INFO;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. EDUARDO SEOANE;URQUIZA, GRAL. 609;BALVANERA;COMUNA 3;1221;C1221ADC
-58.4710781593251;-34.565051956568;29;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;HOSP. PIROVANO;HOSPITAL;MONROE;3555;3555 MONROE AV.;4123-3100;4542-5552 / 2772 / 9279;4543-2199; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. JOSE ANTONIO CUBA;MONROE AV. 3555;COGHLAN;COMUNA 12;1430;C1430BKC
-58.5110525000569;-34.599979524264;30;HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA;HOSP. ZUBIZARRETA;HOSPITAL;NUEVA YORK;3952;3952 NUEVA YORK;4501-5985 / 0683;4501-5555 / 0683 / 5985;4501-2604;WWW.ZUBIZARRETA.ORG.AR;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DRA. LILIA BORELLI;NUEVA YORK 3952;VILLA DEVOTO;COMUNA 11;1419;C1419HDN
-58.50761514092;-34.6253367952668;31;HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD;HOSP. VELEZ SARSFIELD;HOSPITAL;PEDRO CALDERON DE LA BARCA;1550;1550 CALDERON DE LA BARCA, PEDRO;4639-8700 AL 05;4639-8700 (INT. 342);4566-9590;WWW.HOSPITALVELEZ.ORG.AR;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. RODOLFO BLANCAT;CALDERON DE LA BARCA, PEDRO 1550;MONTE CASTRO;COMUNA 10;1407;C1407KQF
-58.5156291936709;-34.6491867281064;32;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;HOSP. SANTOJANNI;HOSPITAL;PILAR;950;950 PILAR;4630-5500 / 5509;4630-5673 / 5606 / 5536;4641-3359;WWW.HOSPITALSANTOJANNI.GOV.AR;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. SERGIO AUGER;PILAR 950;LINIERS;COMUNA 9;1408;C1408INH
-58.4108602188292;-34.6431172591975;33;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;HOSP. PENNA;HOSPITAL;PEDRO CHUTRO;3380;3380 CHUTRO, PEDRO, PROF., DR.;4912-1085;4911-5555 / 3030 (INT. 230/268);4911-7222; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. GUSTAVO SAN MARTIN;CHUTRO, PEDRO, PROF., DR. 3380;PARQUE PATRICIOS;COMUNA 4;1437;C1437JLR
-58.4710976282168;-34.5873917690227;34;HOSPITAL GENERAL DE AGUDOS DR. E. TORNU;HOSP. TORNU;HOSPITAL;COMBATIENTES DE MALVINAS;3002;3002 COMBATIENTES DE MALVINAS AV.;4521-3600 / 1236 / 8700;4521-6666;4521-6677; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. LUIS EDUARDO CASTAÑIZA;COMBATIENTES DE MALVINAS AV. 3002;PARQUE CHAS;COMUNA 15;1431;C1427ARN
-58.4541167814714;-34.643894071866;35;HOSPITAL GENERAL DE AGUDOS P. PIÑERO;HOSP. PIÑERO;HOSPITAL;VARELA;1301;1301 VARELA AV.;4631-8100 / 0526;4631-8601;4632-8626; ;HOSPITAL DE AGUDOS;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. COSME PAGANO;VARELA AV. 1301;FLORES;COMUNA 7;1406;C1406ELA
-58.4566428491104;-34.6718480140772;36;HOSPITAL CECILIA GRIERSON;HOSP. GRIERSON;HOSPITAL;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402;4402;4402 FERNANDEZ DE LA CRUZ, F., GRAL.;4604-9000; ; ; ;HOSPITAL ESPECIALIZADO; ; ; ;MINISTERIO DE SALUD GCBA;DRA. SONIA PAPOTTO;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402;VILLA LUGANO;COMUNA 8;1439;C1439CNU
-58.3918791813883;-34.6299453614404;3;HOSP. DE PEDIATRIA DR. J. GARRAHAN;HOSP. GARRAHAN;HOSPITAL;COMBATE DE LOS POZOS;1881;1881 COMBATE DE LOS POZOS;4941-8772 / 4942-7475;4941-8702;4941-8532;WWW.GARRAHAN.GOV.AR;HOSPITAL DE NIÑOS;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;MINISTERIO DE SALUD GCBA;DR. LUIS DAL BO;COMBATE DE LOS POZOS 1881;PARQUE PATRICIOS;COMUNA 4;1245;C1245AAM
-58.3814293381891;-34.6419888014928;5;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA;TALLERES DE REHAB. PSIQUIATRICA;HOSPITAL;SUAREZ;2215;2215 SUAREZ AV.;4301-3961; ;4302-9160; ;HOSPITAL ESPECIALIZADO;SALUD MENTAL;AT. AMBULATORIA;DIAGNOSTICO;MINISTERIO DE SALUD GCBA;DRA. GRACIELA MARIA ANA RUSSO;SUAREZ AV. 2215;BARRACAS;COMUNA 4;1284;C1284AGA
