REGIMEN;UNIVERSIDA;UNIV_C;UNIDAD_ACA;UNAC_C;ANEXO_C;UNICUE;CUI;TELEF;FAX;WEB;DIRECCION_NORM;CALLE;ALTURA;WKT_GKBA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA ELECTRONICA;122;0;212200;2456;6393-5886;6393-5886;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA EN PETROLEO;123;0;212300;2456;6393-4860;6393-4860;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA INDUSTRIAL;124;0;212400;2456;6393-4895;6393-4895;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA INFORMATICA;125;0;212500;2456;6393-4894;6393-4894;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA MECANICA Y NAVAL;126;0;212600;2456;6393-4824;6393-4824;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE INGENIERIA QUIMICA;127;0;212700;2456;6393-5824;6393-5824;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE LICENCIATURA EN ADMINISTRACION Y SISTEMAS;130;0;213000;2456;6393-4873;6393-4873;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE MATEMATICAS;137;0;213700;2456;6393-4875;6393-4875;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DE SERVICIOS TECNOLOGICOS;148;0;214800;2456;6393-5984;6393-5984;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO DEL DOCTORADO;152;0;215200;2456;6393-4843;6393-4843;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;DEPARTAMENTO NAVAL;153;0;215300;2456;6393-4860;6393-4860;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;ESCUELA DE INGENIERIA Y GESTION;180;0;218000;2456;6393-4870;6393-4870;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;ESCUELA DE INGENIERIA Y TECNOLOGIA;181;0;218100;2456;6393-4870;6393-4870;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PRIVADO;INSTITUTO TECNOLOGICO DE BUENOS AIRES;2;ESCUELA DE POSTGRADO;190;0;219000;2456;6393-4843;6393-4843;;"MADERO; EDUARDO AV. 399";"MADERO; EDUARDO AV.";399;POINT(108739.830076 102872.762065);PUERTO MADERO;COMUNA 1;1106;C1106ACD;-34.60333330739023;-58.36802173779724
PUBLICO;INSTITUTO UNIVERSITARIO AERONAUTICO;3;ESCUELA SUPERIOR DE GUERRA AERA;202;0;320200;2458;4346-8752;4346-8752;;"CAMPOS; LUIS M. AV. 480";"CAMPOS; LUIS M. AV.";480;POINT(102704.707215 106337.485083);PALERMO;COMUNA 14;1426;C1426BOP;-34.57213541536097;-58.43382533743395
PUBLICO;INSTITUTO UNIVERSITARIO AERONAUTICO;3;INSTITUTO DE INTELIGENCIA DE LA FUERZAS ARMADAS;263;0;326300;2457;4346-8729;4346-8729;;CABILDO AV. 381;CABILDO AV.;381;POINT(102267.64083 106223.737956);PALERMO;COMUNA 14;1426;C1426AAD;-34.573161808644706;-58.43858798324744
PUBLICO;INSTITUTO UNIVERSITARIO AERONAUTICO;3;INSTITUTO NACIONAL DE DERECHO AERONAUTICO Y ESPACIAL;268;0;326800;2459;4514-4266;4514-4266;;VIAMONTE 153;VIAMONTE;153;POINT(108528.379685 103307.790928);SAN NICOLAS;COMUNA 1;1053;C1053ABC;-34.59941368409214;-58.37033125576589
PRIVADO;INSTITUTO UNIVERSITARIO CEMIC;4;RECTORADO;1;0;400100;2461;5299-0196;5299-0196;WWW.CEMIC.EDU.AR;VALDENEGRO 4337;VALDENEGRO;4337;POINT(97077.9661115 108264.667816);SAAVEDRA;COMUNA 12;1430;C1430EFA;-34.55476283954482;-58.495136368521386
PRIVADO;INSTITUTO UNIVERSITARIO CEMIC;4;ESCUELA DE MEDICINA;183;0;418300;2461;5299-0900;5299-0196;;VALDENEGRO 4337;VALDENEGRO;4337;POINT(97077.9661115 108264.667816);SAAVEDRA;COMUNA 12;1430;C1430EFA;-34.55476283954482;-58.495136368521386
PRIVADO;INSTITUTO UNIVERSITARIO CEMIC;4;INSTITUTO DE INVESTIGACIONES;264;0;426400;2460;4546-8228;4541-3790;;GALVAN 4102;GALVAN;4102;POINT(97119.8494039 107971.58679);SAAVEDRA;COMUNA 12;1431;C1431FWO;-34.55740484736181;-58.49468103054153
PRIVADO;INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD DE LA FUNDACION BARCELO;5;RECTORADO;1;0;500100;2462;(C)4800-0200 INT. 239;(C)4800-0200 INT. 239;WWW.BARCELO.EDU.AR;LAS HERAS GENERAL AV. 2191;LAS HERAS GENERAL AV.;2191;POINT(106208.067936 104507.135232);RECOLETA;COMUNA 2;1127;C1127AAD;-34.58861928307443;-58.39563396097843
PRIVADO;INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD DE LA FUNDACION BARCELO;5;FACULTAD DE MEDICINA;6;0;500600;2462;(C)4800-0200 INT.239;4800-0200 INT.239;;LAS HERAS GENERAL AV. 2191;LAS HERAS GENERAL AV.;2191;POINT(106208.067936 104507.135232);RECOLETA;COMUNA 2;1127;C1127AAD;-34.58861928307443;-58.39563396097843
PUBLICO;INSTITUTO UNIVERSITARIO DE GENDARMERIA NACIONAL;6;RECTORADO;1;0;600100;211;5169-3345;5169-3345;WWW.IUGNA.EDU.AR;PASEO COLON AV. 533;PASEO COLON AV.;533;POINT(108598.665072 101660.10896);MONSERRAT;COMUNA 1;1063;C1063ACF;-34.614265484121276;-58.369548376283845
PUBLICO;INSTITUTO UNIVERSITARIO DE GENDARMERIA NACIONAL;6;"ESCUELA SUPERIOR DE GENDARMERIA NACIONAL GRAL.BR. D. MANUEL MARIA CALDERON """"";201;0;620100;211;5169-3381;5169-3381;;PASEO COLON AV. 533;PASEO COLON AV.;533;POINT(108598.665072 101660.10896);MONSERRAT;COMUNA 1;1063;C1063ACF;-34.614265484121276;-58.369548376283845
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;RECTORADO;1;0;700100;2284;4905-5014/5012 [C]4905-5000;4905-5014;WWW.IUPFA.EDU.AR;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA INGENIERIA EN GESTION DE SISTEMAS;23;0;702300;2284;4905-5058;4905-5058;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA LICENCIATURA EN RELACIONES INTERNACIONALES;24;0;702400;2284;4905-5061;4905-5061;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA EN ABOGACIA;56;0;705600;2284;4905-5063/5064;4905-5063;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA INGENIERIA EN TELECOMUNICACIONES;57;0;705700;2284;4905-5044/5045;4905-5044;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA LICENCIATURA EN SEGURIDAD CIUDADANA;60;0;706000;2284;4905-5040/5041;4905-5040;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;CARRERA SEGURIDAD AMBIENTAL;63;0;706300;2284;4905-5058;4905-5058;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;"ESCUELA DE ENFERMARIA NUESTRA SEÑORA DE LOS REMEDIOS""""";176;0;717600;2448;4909-4121;;;USPALLATA 3400;USPALLATA;3400;POINT(104734.490642 98862.469183);PARQUE PATRICIOS;COMUNA 4;1437;C1437JCP;-34.63950875853623;-58.4116639981118
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;ESCUELA DE INSTRUMENTACION QUIRURGICA;182;0;718200;2448;4909-4207;4909-4207;;USPALLATA 3400;USPALLATA;3400;POINT(104734.490642 98862.469183);PARQUE PATRICIOS;COMUNA 4;1437;C1437JCP;-34.63950875853623;-58.4116639981118
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;LICENCIATURA EN CIENCIAS PENALES Y SOCIALES;274;0;727400;2284;4905-5061;4905-5061;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;LICENCIATURA EN GESTION DE SINIESTROS;275;0;727500;2284;4905-5058;4905-5058;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;LICENCIATURA EN SEGURIDAD EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES;277;0;727700;2284;4905-5044/5045;4905-5044;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;LICENCIATURA EN TRABAJO SOCIAL;278;0;727800;2284;4905-5061;4905-5061;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;UNIDAD ACADEMICA DE FORMACION DE GRADO;314;0;731400;2284;4905-5050/5052;4905-5050;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;UNIDAD ACADEMICA DE FORMACION DE POSGRADO;315;0;731500;2284;4905-5046/5033;;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;UNIDAD ACADEMICA DE FORMACION PROFESIONAL Y PERMANENTE;316;0;731600;2284;4905-5081/5077;;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;"UNIDAD ACADEMICA ESCUELA DE CADETES COMISARIO GENERAL JUAN A. PIKER""""";317;0;731700;980;4638-5011;4638-5011;WWW.ESCUELADECADETESPFA.EDU.AR;CORVALAN 3698;CORVALAN;3698;POINT(99590.2685303 95320.9550753);VILLA LUGANO;COMUNA 8;1439;C1439EWZ;-34.67144299294371;-58.46777038844435
PUBLICO;INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA;7;"UNIDAD ACADEMICA ESCUELA SUPERIOR DE POLICIA COMISARIO GENERAL ENRIQUE FENTANES""""";318;0;731800;2284;4346-5703;4346-5703;;ROSARIO 532;ROSARIO;532;POINT(102466.790239 101077.398161);CABALLITO;COMUNA 6;1424;C1424CCL;-34.6195511589014;-58.43640276848227
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;RECTORADO;1;0;800100;2545;475-7867/7985 INT.19 /4899-1607;475-7867;WWW.IUSAM.EDU.AR;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;ESPECIALIZACION EN PSICOLOGIA CLINICA DE NIÑOS Y ADOLECENTES;28;0;802800;2545;4775-7867INT.19/4899-1607;4775-7867;;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;ESPECIALIZACION Y MAESTRIA EN PSICOPATOLOGIA Y SALUD MENTAL;29;0;802900;2545;4775-7867INT.19/4899-1607;4775-7867;;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;ESPECIALIZACION EN PSICOANALISIS;205;0;820500;2545;4775-7867INT.19/4899-1607;4775-7867;;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;MAESTRIA EN CULTURA Y SALUD MENTAL;285;0;828500;2545;4775-7867INT.19/4899-1607;4775-7867;;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PRIVADO;INSTITUTO UNIVERSITARIO DE SALUD MENTAL DE LA ASOCIACION PSICOANALITICA DE BUENOS AIRES;8;MAESTRIA EN LA FAMILIA Y PAREJA;291;0;829100;2545;4775-7867INT.19/4899-1607;4775-7867;;MAURE 1850;MAURE;1850;POINT(102414.229998 106798.108578);PALERMO;COMUNA 14;1426;C1426CUH;-34.56798399773657;-58.43699213283199
PUBLICO;INSTITUTO UNIVERSITARIO DE SEGURIDAD MARITIMA;9;RECTORADO;1;0;900100;1858;4576-7611/INT.39;4576-7611;WWW.PREFECTURANAVAL.GOV.AR;CORRIENTES AV. 345;CORRIENTES AV.;345;POINT(108386.719033 102907.698114);SAN NICOLAS;COMUNA 1;1043;C1043AAD;-34.60302133501219;-58.37187155913964
PUBLICO;INSTITUTO UNIVERSITARIO DE SEGURIDAD MARITIMA;9;"INSTITUTO DE FORMACION; CAPACITACION; PERFECCIONAMIENTO Y ACTUALIZACION DOCENTE";262;0;926200;1858;4576-7611/7613;4576-7611;;CORRIENTES AV. 345;CORRIENTES AV.;345;POINT(108386.719033 102907.698114);SAN NICOLAS;COMUNA 1;1043;C1043AAD;-34.60302133501219;-58.37187155913964
PUBLICO;INSTITUTO UNIVERSITARIO DEL EJERCITO MAYOR FRANCISCO ROMERO;10;RECTORADO;1;0;1000100;2228;4576-5652 [C]4576-5650;4576-5652;WWW.IESE.EDU.AR;CABILDO AV. 15;CABILDO AV.;15;POINT(102528.764703 106065.37452);PALERMO;COMUNA 14;1426;C1426AAA;-34.57458871423907;-58.43574186891433
PUBLICO;INSTITUTO UNIVERSITARIO DEL EJERCITO MAYOR FRANCISCO ROMERO;10;ESCUELA SUPERIOR  DE GUERRA Ô TENIENTE GENERAL LUIS MARIA CAMPOSÖ;200;0;1020000;2458;4576-5696/4576-5689;4576-5696;WWW.ESCUELASUPERIORDEGUERRA.IESE.EDU.AR;"CAMPOS; LUIS M. AV. 480";"CAMPOS; LUIS M. AV.";480;POINT(102704.707215 106337.485083);PALERMO;COMUNA 14;1426;C1426BOP;-34.57213541536097;-58.43382533743395
PUBLICO;INSTITUTO UNIVERSITARIO DEL EJERCITO MAYOR FRANCISCO ROMERO;10;ESCUELA SUPERIOR TECNICAÖ GENERAL DE DIVISION MANUEL NICOLAS SAVIOÖ;203;0;1020300;2228;4779-3301/4779-3300;4779-3384;WWW.INGENIERIAEST.IESE.EDU.AR;CABILDO AV. 15;CABILDO AV.;15;POINT(102528.764703 106065.37452);PALERMO;COMUNA 14;1426;C1426AAA;-34.57458871423907;-58.43574186891433
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;RECTORADO;1;0;1100100;2469;5032-3900/5032-3991;5353-9099;WWW.IUEAN.EDU.AR;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA CONTADOR PUBLICO;48;0;1104800;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA DE LICENCIATURA EN  TECNOLOGIA INFORMATICA;50;0;1105000;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA DE LICENCIATURA EN ADMINISTRACION DE EMPRESAS;51;0;1105100;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA DE LICENCIATURA EN ADMINISTRACION DE NEGOCIOS INTERNACIONALES;52;0;1105200;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA DE LICENCIATURA EN COMERCIALIZACION;53;0;1105300;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA DE LICENCIATURA EN DIRECCCION DE FACTOR HUMANO;54;0;1105400;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
PRIVADO;INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS;11;CARRERA LICENCIATURA EN ADMINISTRACION HOTELERA;58;0;1105800;2469;5032-3900 INT.410;5032-3900;;CORDOBA AV. 1690;CORDOBA AV.;1690;POINT(106607.987996 103286.001887);SAN NICOLAS;COMUNA 1;1055;C1055AAT;-34.59962424740334;-58.39126545679323
